ds,y
2021-06-09,14732
2020-01-05,18801
2017-12-24,13361
2019-03-27,11884
2021-10-28,13036
2018-09-18,13750
2019-07-11,18925
2022-05-04,10507
2021-06-07,16548
2020-11-28,18068
2018-05-11,12115
2019-09-14,13792
2017-12-05,18073
2017-12-17,16939
2019-03-31,14788
2021-09-19,15462
2017-11-13,11933
2020-01-25,18683
2020-02-01,17477
2020-04-08,18522
2020-07-05,13642
2021-02-03,17428
2018-01-22,11572
2019-03-23,16289
2022-02-04,15004
2019-09-26,12323
2022-05-08,16298
2020-03-11,15886
2020-02-01,13129
2019-05-16,15536
2019-06-10,17484
2021-06-14,10984
2020-09-18,18068
2020-09-09,17749
2018-07-09,18673
2020-01-30,13054
2022-01-05,11239
2019-08-24,12639
2020-01-14,18118
2021-02-23,15520
2022-05-25,13542
2021-06-19,18570
2021-12-04,17734
2018-07-31,16810
2022-08-02,11253
2017-10-08,14444
2022-08-17,14306
2022-05-24,13159
2021-10-30,13853
2022-10-10,12614
2020-12-19,10048
2018-04-27,10642
2019-11-01,12905
2018-02-26,10942
2022-08-05,12914
2018-07-13,10932
2018-08-14,13174
2017-11-13,17652
2022-07-12,11845
2019-02-09,10653
2021-05-28,10371
2021-09-27,16645
2022-03-05,16116
2021-07-15,10742
2018-10-06,13957
2018-05-03,10654
2021-08-12,18262
2020-07-04,13248
2019-01-18,18030
2020-03-21,17767
2018-04-30,18462
2018-09-24,17694
2019-06-24,14700
2021-08-17,17926
2018-03-24,12906
2018-02-10,14574
2022-05-06,11605
2022-03-01,14890
2019-10-18,10836
2020-09-15,18739
2019-08-13,10219
2018-04-02,16463
2021-06-16,15710
2020-04-05,14358
2018-03-20,19331
2018-07-12,17992
2020-11-22,13894
2020-01-19,18552
2020-05-17,18754
2022-01-31,12065
2018-09-13,19063
2020-05-05,15786
2021-11-16,18753
2019-02-06,18421
2019-03-09,14889
2018-10-11,10723
2022-01-28,18585
2020-07-24,17414
2018-08-22,13083
2018-06-03,11876
2018-06-28,11031
2018-02-16,17954
2021-04-27,16053
2019-06-19,15037
2020-04-11,16137
2018-07-12,19650
2018-01-10,11003
2019-02-22,19312
2020-12-17,14592
2021-10-03,14581
2020-09-03,10977
2019-11-11,10283
2019-08-13,14894
2022-08-09,17151
2022-05-07,13744
2021-03-05,10501
2021-02-24,12948
2020-06-28,14100
2021-03-11,16723
2018-05-07,10944
2021-01-29,14289
2022-02-21,18866
2021-11-18,14851
2022-02-03,13995
2019-10-29,18985
2017-11-19,12983
2018-06-18,11857
2021-02-22,11072
2017-11-16,18902
2019-12-01,12500
2019-05-04,15807
2019-05-03,19117
2020-05-16,13823
2018-09-25,11626
2018-12-19,12369
2018-07-25,11579
2018-05-28,14386
2020-12-25,11606
2021-07-30,17489
2018-05-19,17631
2020-11-13,17792
2019-11-13,19395
2019-06-14,12234
2017-12-14,10005
2022-06-06,12139
2022-07-30,16036
2018-01-16,14849
2021-12-29,17800
2019-11-05,12550
2022-03-27,17011
2022-03-30,17152
2020-10-08,14978
2019-10-11,17963
2021-01-07,13540
2018-06-30,17154
2019-09-10,14031
2021-08-08,16084
2017-12-22,19750
2022-06-22,16017
2019-05-25,18384
2021-12-23,13555
2020-08-16,14671
2022-04-14,16770
2019-06-11,15419
2018-10-06,15460
2020-12-12,10963
2018-10-06,12610
2020-01-08,11851
2018-08-28,16256
2020-05-09,17647
2019-07-19,19237
2019-01-16,18868
2021-01-01,12253
2022-07-22,15757
2021-07-02,14995
2020-08-09,12542
2021-06-11,17224
2017-11-29,10026
2022-08-26,11496
2019-09-19,17132
2019-12-15,12974
2021-04-24,13540
2022-01-25,17662
2021-01-30,16816
2019-10-11,16371
2022-05-22,15071
2022-05-17,17669
2017-12-24,10906
2022-03-11,16415
2020-02-20,12994
2022-07-28,14066
2019-12-17,14221
2021-12-02,18126
2022-05-18,11003
2018-12-13,10688
2018-09-24,18336
2019-03-11,19131
2021-04-28,19430
2019-11-19,14484
2021-11-04,18881
2022-01-03,15399
2020-01-14,14087
2019-08-29,14568
2021-11-20,12599
2022-09-25,19757
2018-01-09,13345
2019-06-17,17455
2019-07-20,13422
2021-01-11,10494
2021-12-13,10271
2020-08-30,18356
2018-07-02,14767
2018-07-03,10091
2020-09-28,16861
2020-02-21,11127
2019-05-11,18095
2022-07-31,18022
2021-03-10,12869
2021-09-11,19920
2019-05-17,17373
2019-03-04,10652
2020-03-08,16111
2019-08-01,19509
2022-03-11,14217
2022-10-08,16011
2019-01-16,19008
2021-09-03,13699
2019-11-27,18309
2019-03-09,18912
2020-08-15,14799
2021-09-10,18128
2021-07-22,12164
2022-01-06,19729
2019-04-10,12456
2021-11-23,17614
2020-02-07,10584
2018-01-07,19140
2018-09-10,14077
2020-10-21,17486
2021-04-12,10418
2017-11-18,15689
2017-11-04,17589
2022-03-20,16232
2021-06-06,15837
2019-03-27,17838
2020-08-30,18702
2022-01-24,12457
2019-12-13,10757
2021-03-23,17331
2018-07-18,13947
2020-05-03,15718
2020-12-20,13655
2020-05-15,18638
2022-01-26,14886
2018-08-22,10682
2019-01-05,11386
2018-04-05,16322
2022-05-28,12765
2017-10-15,14747
2020-11-21,15347
2022-04-04,15499
2020-08-27,10743
2018-11-19,18635
2020-09-11,11484
2018-07-24,12410
2020-06-14,12427
2017-10-02,17387
2022-03-13,16247
2022-05-26,16239
2017-11-03,14432
2020-08-03,15180
2022-09-29,11187
2022-06-26,18512
2020-05-14,17111
2018-04-21,12738
2018-12-15,13672
2022-07-19,16058
2022-02-22,13192
2019-03-09,17559
2020-07-30,11996
2020-03-02,19637
2019-10-02,16858
2019-11-26,19389
2019-10-25,13021
2021-07-21,18562
2019-11-25,14476
2018-11-22,13221
2020-02-08,19927
2020-04-11,17373
2019-10-20,16305
2021-02-04,19104
2021-01-07,14508
2022-03-08,16599
2018-07-23,10790
2022-05-04,17912
2021-10-16,17329
2019-11-27,19499
2018-01-22,12008
2022-03-28,17573
2020-08-26,19419
2020-10-18,11289
2021-02-19,17674
2020-10-06,19138
2022-05-06,10806
2021-06-19,13816
2022-05-06,12195
2020-08-21,18171
2021-10-06,14262
2022-06-16,16999
2019-04-24,13891
2020-06-05,17620
2021-04-22,13176
2019-08-10,13091
2018-01-13,10139
2018-06-11,10953
2022-07-14,10468
2019-10-25,12797
2022-03-08,18818
2018-07-09,11439
2021-02-12,15436
2018-08-19,16906
2018-09-27,13631
2018-02-17,10119
2018-07-07,15588
2019-05-05,12020
2020-01-13,18719
2017-10-22,10712
2021-10-22,18426
2018-02-04,15511
2021-09-12,10340
2022-01-13,15679
2021-08-21,18588
2021-10-19,18103
2018-03-19,19398
2019-06-21,13400
2018-08-14,12902
2020-06-06,13686
2021-05-15,12458
2020-09-13,10153
2022-06-28,13901
2020-04-22,14241
2021-10-23,12639
2017-11-09,10145
2019-08-14,18822
2021-09-25,17349
2021-01-29,19543
2020-12-09,15277
2019-01-08,19023
2019-06-12,19345
2021-11-27,11538
2018-07-13,19161
2019-11-15,13791
2018-04-28,10338
2020-11-08,11808
2019-01-16,14491
2019-07-15,12787
2021-04-02,13702
2018-04-03,12316
2019-08-04,18473
2021-04-28,13484
2019-09-17,12281
2018-09-27,15992
2017-12-23,11508
2018-07-14,19569
2021-08-16,17651
2021-03-04,10001
2021-04-14,18437
2020-12-10,14434
2022-03-12,18202
2022-06-27,15741
2019-02-23,17727
2018-02-19,15767
2019-12-10,13356
2021-04-11,14664
2020-09-09,17379
2018-05-03,17744
2020-12-18,13193
2022-09-09,16093
2022-04-08,10485
2021-12-23,16262
2021-07-04,10698
2017-10-04,14682
2021-06-06,14216
2018-09-18,10582
2022-06-26,11266
2019-07-29,16893
2022-01-03,15310
2018-07-01,11480
2018-12-07,15646
2021-08-12,17302
2018-10-12,11441
2020-08-29,13056
2021-07-02,17316
2019-03-18,16111
2018-02-15,13910
2022-08-23,13755
2019-04-04,12120
2022-07-03,16889
2021-10-15,13793
2018-09-12,17331
2019-06-14,17656
2018-03-30,16654
2018-03-06,12577
2020-02-13,15409
2018-06-29,11301
2022-06-08,18471
2021-07-31,11171
2020-10-31,19392
2017-11-29,11608
2021-01-05,11626
2019-10-08,16989
2021-07-09,14749
2021-07-24,19350
2018-05-05,10904
2021-02-20,16104
2021-08-01,17381
2018-08-13,11574
2021-10-13,11057
2018-08-16,12789
2022-04-28,14444
2022-06-29,10686
2018-10-03,18954
2022-01-17,15515
2021-06-28,19065
2021-05-24,11745
2017-11-25,16112
2019-09-29,15962
2019-06-29,15135
2019-08-26,10682
2021-09-28,18882
2020-03-16,17738
2017-12-06,16537
2022-10-07,15866
2021-12-10,15137
2021-02-16,18613
2019-06-05,18232
2017-11-21,13843
2021-03-25,12074
2020-11-23,14735
2020-04-30,17984
2022-02-10,18798
2021-08-16,11118
2022-08-29,13399
2019-03-04,12088
2020-12-24,19028
2020-09-30,17450
2019-04-06,15389
2021-04-24,13074
2017-11-26,16379
2018-03-19,10563
2018-10-20,16190
2017-10-17,13769
2018-04-23,14677
2021-12-06,13071
2018-11-17,14812
2022-01-03,16022
2021-03-30,14001
2019-05-17,19372
2018-04-25,11423
2022-03-18,12569
2018-12-24,19900
2020-06-24,12761
2019-03-31,18745
2022-04-27,16010
2019-08-26,16320
2021-09-22,18492
2022-05-01,11421
2019-04-02,13285
2019-02-04,19915
2021-01-07,15928
2021-10-11,14169
2022-05-30,14213
2022-01-03,11989
2019-06-07,15626
2020-05-05,12295
2020-08-18,14611
2022-04-21,17009
2020-10-01,16454
2018-08-13,10756
2018-10-08,19717
2018-08-13,13683
2021-09-23,14696
2020-11-23,15476
2019-09-18,16025
2021-12-14,11042
2018-09-28,12804
2020-04-30,11472
2022-07-03,12247
2019-11-28,17616
2017-10-10,19104
2020-03-12,15973
2021-06-10,13902
2022-04-22,19877
2019-08-11,16240
2018-01-20,16675
2021-08-27,16944
2019-05-16,18448
2018-10-14,16576
2020-10-27,12544
2018-07-20,17200
2020-01-14,12461
2022-04-02,15552
2021-07-07,12050
2021-06-29,15384
2021-12-12,11711
2021-05-31,18296
2019-10-21,13776
2018-08-25,14814
2017-10-24,18712
2018-11-06,19525
2018-08-31,17386
2020-09-15,16720
2021-02-14,15748
2018-08-27,13272
2020-02-02,10181
2018-05-21,19843
2021-12-20,13766
2018-05-19,17230
2017-11-18,12421
2018-08-30,13665
2021-03-22,17713
2022-06-19,15617
2021-03-13,15333
2022-08-08,19719
2021-08-10,17947
2018-04-03,14557
2019-10-29,19540
2021-03-28,16683
2018-10-21,11743
2019-08-17,15514
2017-11-15,10862
2018-01-23,15353
2020-04-02,12564
2021-06-09,15691
2021-11-06,19877
2021-04-04,11138
2019-12-12,19991
2020-02-03,12450
2021-09-11,10250
2021-12-31,18806
2020-04-09,18473
2018-05-15,10215
2020-11-30,14161
2022-01-18,17659
2018-02-18,15181
2019-08-23,15101
2019-10-10,13886
2018-01-15,14343
2018-05-09,10700
2021-04-14,11801
2020-04-23,11008
2018-03-22,19880
2018-11-17,10251
2020-02-22,10560
2020-07-11,13064
2021-02-03,15052
2018-10-20,17627
2022-03-12,16247
2019-05-28,18442
2017-11-12,14401
2020-07-07,12019
2017-11-14,11663
2019-07-20,17617
2020-10-02,11269
2022-01-16,15178
2019-03-06,16947
2020-12-22,13965
2020-06-03,16976
2018-10-04,10952
2022-01-24,15681
2018-06-15,18931
2018-11-23,12887
2022-06-08,10924
2018-12-12,19608
2019-10-15,14845
2019-05-16,11294
2021-07-25,13376
2018-07-24,17978
2020-10-07,11451
2022-05-29,13425
2022-05-30,12091
2019-11-05,12610
2020-04-28,17884
2018-03-25,18572
2019-06-24,10577
2020-06-10,13920
2022-01-17,19184
2018-11-20,12668
2020-04-28,11512
2021-03-16,14113
2020-07-12,11250
2020-08-27,10038
2021-08-11,11103
2020-02-26,14238
2020-05-22,19999
2021-04-20,18581
2019-01-23,13608
2021-12-05,19204
2017-12-31,13625
2021-07-01,12356
2019-04-28,13049
2017-12-07,16653
2021-12-15,18677
2018-03-16,17783
2022-06-06,17023
2020-01-20,16683
2022-01-17,10679
2018-02-21,13907
2019-08-05,18357
2022-06-25,17339
2019-09-05,18194
2017-12-12,10523
2019-12-29,11854
2019-10-28,13986
2022-05-21,13500
2020-11-27,18526
2021-04-06,15830
2019-01-08,16740
2018-10-08,15044
2019-05-16,17562
2020-10-23,19326
2020-10-04,12535
2017-12-23,11202
2022-04-06,16187
2018-04-29,19898
2018-08-20,11564
2020-06-07,19270
2020-12-21,16574
2022-03-09,18140
2020-09-11,15362
2017-10-27,15079
2020-11-04,17094
2020-06-02,10293
2018-09-18,17333
2022-07-06,17410
2018-01-23,11801
2020-01-07,16823
2022-02-27,13029
2019-01-08,17052
2022-08-07,13414
2018-03-04,18948
2022-09-05,14470
2020-12-17,16842
2022-03-02,11865
2021-04-13,17188
2017-11-30,15844
2018-12-30,12497
2021-05-23,12976
2017-12-24,17446
2020-09-30,19118
2020-08-10,18574
2019-05-05,17420
2020-06-02,17543
2021-10-29,12936
2021-05-25,12799
2022-01-22,19756
2021-03-27,12595
2020-12-03,17097
2017-10-12,13080
2022-04-29,12466
2019-12-07,19130
2020-08-23,11671
2022-07-22,15075
2018-08-21,14221
2020-07-07,16169
2018-02-02,14891
2018-01-27,19103
2019-02-07,12596
2022-05-13,15508
2019-08-20,14339
2017-12-16,15311
2019-08-01,13088
2022-05-06,10816
2018-08-17,10776
2021-05-23,16769
2022-08-24,16426
2022-06-13,17750
2022-01-20,11140
2021-08-04,17962
2021-06-04,10541
2022-01-03,13286
2021-01-23,12615
2020-06-10,16421
2022-09-21,10695
2021-06-28,11247
2019-01-25,18284
2018-02-23,14183
2019-01-24,11581
2020-11-29,16281
2022-04-10,12323
2020-05-09,14161
2018-11-20,13976
2021-03-04,12553
2021-06-09,11558
2018-05-18,11406
2022-09-05,14814
2018-04-30,15739
2022-09-08,16930
2019-09-08,11661
2020-04-25,13403
2021-05-17,15820
2020-11-26,10224
2019-06-10,12213
2021-01-11,15639
2020-10-31,19423
2022-02-13,12744
2018-06-24,16597
2019-10-05,18202
2018-12-16,15573
2019-05-23,17821
2020-01-06,13566
2017-11-09,19461
2018-06-21,16332
2021-12-27,15324
2018-03-01,11522
2021-11-26,11957
2018-08-22,18856
2021-07-19,15055
2021-06-23,18138
2020-05-11,15144
2020-07-12,12893
2019-11-10,12069
2019-04-11,17994
2021-11-22,12794
2021-12-17,14434
2018-05-23,15633
2018-09-23,15738
2019-10-09,18198
2019-08-15,18525
2021-09-24,15148
2018-06-16,15218
2020-02-18,11942
2019-11-01,15432
2021-07-17,10783
2018-04-03,18210
2019-04-19,15370
2019-11-11,16293
2019-12-01,13501
2021-07-21,13513
2018-09-08,12081
2021-06-04,17940
2020-12-07,12841
2017-12-22,16299
2020-08-11,16717
2019-01-20,14686
2021-10-26,10561
2019-03-25,14473
2021-12-12,17170
2018-04-12,17559
2019-05-31,16488
2018-12-10,12328
2018-01-03,12132
2019-06-06,16251
2022-08-15,11000
2020-12-13,14787
2021-10-14,14983
2019-02-11,17808
2022-02-09,13501
2021-03-12,17043
2021-03-03,17610
2019-01-26,16460
2021-07-18,13930
2019-08-15,11608
2022-09-16,17073
2019-10-02,18069
2022-02-21,19481
2021-11-08,12025
2019-11-10,10600
2021-11-09,17396
2019-07-13,11535
2020-09-09,17899
2022-08-13,18982
2020-03-23,14605
2019-09-19,11114
2018-10-13,15888
2018-05-31,11304
2021-03-06,10912
2018-08-28,19569
2020-10-01,12799
2021-07-15,12914
2022-09-27,17984
2020-05-15,19712
2019-09-21,17222
2018-09-28,16742
2018-08-15,19702
2019-03-18,14046
2018-04-27,17109
2021-06-23,13937
2021-01-22,17926
2018-06-02,16704
2018-10-19,19762
2019-06-19,11859
2021-09-08,15218
2020-03-11,13464
2021-08-16,16325
2021-12-31,13947
2022-03-10,13828
2020-07-15,14750
2021-08-23,13184
2021-09-10,10971
2019-01-13,13746
2018-08-04,12449
2019-02-23,14503
2019-04-11,15022
2021-05-25,15359
2021-06-24,17475
2018-12-27,18827
2018-09-12,14706
2019-09-09,13128
2020-10-17,11998
2021-06-13,15265
2021-11-27,14401
2022-08-06,11051
2022-02-21,13202
2018-07-30,19595
2021-02-27,19721
2019-04-23,13852
2018-02-08,18724
2021-02-19,13061
2022-06-18,19394
2022-01-21,10882
2020-05-20,19676
2019-11-19,11610
2022-05-20,10610
2018-02-21,11230
2020-12-12,10785
2021-12-31,17582
2021-01-11,13619
2020-12-28,12759
2022-04-20,17196
2020-04-02,12937
2021-01-28,10233
2021-06-02,18820
2021-11-02,13378
2022-09-07,12747
2017-11-18,17329
2020-03-22,10736
2020-02-20,19099
2018-11-18,19686
2021-01-16,18073
2018-07-07,14208
2019-12-23,10170
2021-04-06,13354
2020-05-01,16114
2018-02-07,19671
2019-06-08,14486
2019-02-20,10121
2021-02-24,13143
2018-07-11,18394
2018-12-01,15589
2022-01-24,13426
2018-08-03,16677
2021-05-06,19264
2019-04-22,10564
2020-08-24,16449
2017-11-19,16593
2021-03-27,16948
2020-11-13,19550
2019-01-12,15608
2019-01-28,13904
2018-11-05,15288
2018-04-27,19866
2018-11-08,19349
2021-02-27,17619
2017-11-14,12124
2019-01-04,16494
2021-04-01,12185
2020-08-17,19132
2021-10-24,15250
2018-04-28,17003
2020-11-06,12552
2018-10-20,18335
2020-12-13,17628
2022-06-18,17244
2021-04-24,13169
2017-12-29,10595
2022-03-07,19905
2020-07-05,16301
2022-03-16,15714
2022-09-28,16154
2021-10-13,16404
2021-06-12,10677
2019-06-02,18683
2021-05-25,19293
2021-04-07,15508
2019-02-07,15926
2021-01-31,16993
2018-01-17,10376
2020-04-12,17008
2018-08-27,13236
2018-01-31,17027
2022-03-08,15036
2021-04-13,15299
2021-01-30,11428
2022-06-29,11943
2022-05-30,13034
2021-04-11,14519
2018-05-10,19890
2017-10-17,13559
2021-03-13,18987
2018-11-06,10352
2021-11-07,19663
2020-11-23,12208
2021-05-10,15743
2021-12-01,15116
2021-05-05,18244
2018-10-06,15457
2021-10-26,12077
2022-05-29,10002
2021-03-06,19452
2021-08-14,12079
2018-04-20,18407
2021-05-31,19418
2019-06-15,16114
2019-11-15,11994
2021-06-14,12425
2020-07-19,14827
2019-01-11,13053
2019-03-30,14168
2017-12-27,10147
2021-06-25,14762
2022-02-02,10311
2021-05-19,14246
2020-04-10,16635
2020-09-24,13243
2020-02-03,11548
2022-04-13,19654
2019-02-10,14194
2021-05-30,17413
2019-09-14,17942
2019-08-24,18310
2020-03-05,19592
2019-11-29,17208
2021-09-22,19665
2019-10-29,14711
2018-04-28,10015
2020-07-10,18682
2019-04-29,17218
2022-07-16,14549
2019-03-20,16234
2020-06-25,12070
2018-02-05,19250
2018-10-16,11289
2022-09-20,11598
2020-11-16,10465
2022-08-16,18053
2021-09-24,16837
2020-04-19,18478
2018-08-19,17125
2019-11-01,14083
2019-12-19,15731
2018-04-10,16491
2017-11-26,16670
2021-02-19,18578
2020-08-03,17812
2019-01-19,12936
2020-10-16,15034
2019-07-03,11344
2017-11-30,11354
2018-03-05,18448
2021-09-23,17531
2019-11-12,15851
2019-12-11,15117
2020-03-01,11037
2021-02-10,11458
2019-04-29,11687
2019-09-25,16392
2020-05-20,16769
2021-03-02,13233
2020-11-16,14365
2019-01-10,18315
2019-06-04,17219
2022-08-26,11020
2019-06-19,14765
2019-08-11,14546
2021-03-03,18461
2020-03-26,12392
2019-03-01,17811
2018-10-01,11270
2021-04-09,18902
2021-08-08,14683
2019-08-10,12513
2020-06-23,10688
2022-07-05,19961
2020-09-24,10397
2021-11-13,10919
2020-10-02,17661
2018-10-27,19161
2021-11-27,14476
2018-05-05,11582
2019-05-11,16652
2018-01-03,14629
2018-04-22,15967
2019-08-31,14960
2020-07-19,10052
2018-06-30,14572
2022-05-22,16401
2017-10-06,16781
2018-12-26,11260
2017-12-05,12368
